iter	Passed	Remaining
0	240	239846
1	241	120411
2	242	80541
3	243	60591
4	245	48761
5	246	40765
6	247	35051
7	248	30765
8	249	27446
9	250	24789
10	251	22642
11	253	20857
12	254	19327
13	255	18020
14	257	16882
15	258	15918
16	259	15030
17	261	14242
18	262	13553
19	263	12923
20	264	12351
21	265	11823
22	266	11338
23	267	10893
24	268	10483
25	269	10112
26	270	9765
27	272	9461
28	273	9161
29	274	8883
30	275	8622
31	277	8385
32	278	8154
33	279	7934
34	280	7725
35	281	7529
36	282	7349
37	283	7173
38	284	7008
39	287	6895
40	288	6745
41	289	6600
42	290	6463
43	291	6332
44	292	6205
45	293	6084
46	294	5967
47	295	5855
48	296	5750
49	297	5649
50	298	5550
51	300	5476
52	303	5419
53	304	5337
54	307	5276
55	308	5207
56	310	5131
57	311	5056
58	312	4985
59	314	4933
60	316	4875
61	317	4807
62	318	4742
63	319	4678
64	320	4615
65	321	4554
66	322	4494
67	323	4438
68	324	4381
69	325	4328
70	326	4276
71	327	4226
72	329	4181
73	331	4147
74	332	4102
75	333	4058
76	334	4014
77	335	3969
78	336	3927
79	337	3885
80	338	3844
81	339	3804
82	340	3759
83	341	3721
84	342	3685
85	343	3649
86	346	3636
87	347	3604
88	349	3573
89	350	3544
90	352	3517
91	353	3493
92	355	3464
93	356	3436
94	357	3407
95	360	3394
96	362	3376
97	364	3354
98	366	3332
99	367	3308
100	369	3285
101	371	3266
102	372	3243
103	373	3221
104	377	3214
105	379	3197
106	380	3174
107	381	3151
108	382	3127
109	383	3105
110	384	3082
111	386	3060
112	387	3040
113	388	3020
114	391	3009
115	392	2994
116	394	2978
117	395	2958
118	396	2937
119	397	2916
120	398	2896
121	399	2875
122	400	2855
123	401	2836
124	404	2831
125	405	2814
126	406	2794
127	407	2777
128	408	2760
129	409	2742
130	410	2724
131	411	2707
132	412	2690
133	414	2675
134	414	2659
135	416	2644
136	417	2628
137	419	2620
138	420	2606
139	421	2590
140	422	2576
141	423	2558
142	424	2543
143	425	2528
144	426	2514
145	427	2501
146	428	2488
147	429	2474
148	430	2461
149	431	2447
150	433	2439
151	435	2428
152	436	2416
153	437	2403
154	438	2390
155	439	2377
156	440	2364
157	442	2355
158	443	2346
159	445	2337
160	445	2323
161	446	2310
162	448	2303
163	449	2292
164	450	2281
165	451	2270
166	453	2260
167	454	2249
168	455	2240
169	456	2229
170	457	2219
171	458	2208
172	459	2196
