iter	Passed	Remaining
0	1	176
1	3	177
2	5	174
3	6	165
4	8	168
5	10	167
6	12	165
7	14	164
8	16	162
9	17	160
10	19	158
11	21	157
12	23	157
13	25	159
14	28	161
15	30	160
16	32	158
17	34	156
18	36	153
19	37	151
20	39	148
21	40	145
22	42	141
23	43	138
24	45	135
25	46	132
26	47	128
27	48	125
28	50	122
29	51	119
30	52	116
31	53	113
32	54	110
33	55	107
34	56	104
35	57	101
36	58	99
37	59	96
38	59	93
39	60	91
40	61	88
41	62	85
42	62	83
43	63	81
44	64	78
45	65	76
46	66	74
47	67	72
48	68	70
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	72	59
55	73	57
56	74	56
57	75	54
58	76	52
59	76	51
60	77	49
61	78	48
62	79	46
63	80	45
64	81	43
65	82	42
66	83	40
67	83	39
68	84	38
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	100	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	110	1
99	111	0
